<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.08.18	71561	71833	71063	71418	223119	644262	0
2016.08.19	71021	71626	70751	71576	178607	520164	0
2016.08.22	71073	71157	69642	69877	212402	602498	0
2016.08.23	70201	70753	69728	69818	232255	670743	0
2016.08.24	69655	70313	69233	69853	234929	678777	0
2016.08.25	69424	70130	69325	69680	228159	632305	0
2016.08.26	69684	70720	68975	69715	248135	672088	0
2016.08.29	69638	71001	69491	70596	211295	606192	0
2016.08.30	70617	70950	70160	70620	224919	622173	0
2016.08.31	70747	70914	69269	69279	265968	733081	0
2016.09.01	69554	70168	69313	69928	219414	591477	0
2016.09.02	70219	71816	69946	71656	202925	535333	0
2016.09.05	71703	72074	71499	71754	118275	338541	0
2016.09.06	71816	72207	71072	72177	211517	569070	0
2016.09.08	71875	72337	71657	72012	204705	552981	0
2016.09.09	71875	71875	69089	69149	263492	767040	0
2016.09.12	68634	70303	68634	70143	291905	785707	0
2016.09.13	69738	69801	67806	68281	315588	851984	0
2016.09.14	68569	68703	67893	68348	288580	749368	0
2016.09.15	68729	69613	68488	69143	218926	576856	0
2016.09.16	68616	69045	68050	68490	227512	631097	0
2016.09.19	69038	69469	68314	68674	201889	579188	0
2016.09.20	69044	69291	68871	68921	173823	473952	0
2016.09.21	69447	70068	68568	69933	250249	711537	0
2016.09.22	70159	71054	70019	70514	202137	575195	0
2016.09.23	70462	70773	69828	70143	212305	594035	0
2016.09.26	69500	69630	69055	69270	181342	507416	0
2016.09.27	69382	69788	68488	69763	215870	630708	0
2016.09.28	70011	70923	69613	70868	237216	713793	0
2016.09.29	70925	71078	69373	69413	277666	820977	0
2016.09.30	69466	70233	69328	69583	199283	552804	0
2016.10.03	69803	70967	69512	70742	220298	648261	0
2016.10.04	70724	70911	70041	70576	270527	788912	0
2016.10.05	70914	71922	70752	71437	199578	585023	0
2016.10.06	71329	72265	71281	71985	194696	556180	0
2016.10.07	71816	72859	71729	72734	260812	757635	0
2016.10.10	72944	73376	72841	73376	162185	477989	0
2016.10.11	73359	73359	72343	72463	208758	607119	0
2016.10.13	71934	72858	71593	72593	229545	684375	0
2016.10.14	72970	73654	72894	73534	212226	625777	0
2016.10.17	73273	74581	73221	74581	198656	584328	0
2016.10.18	74716	75806	74461	75551	249515	776951	0
2016.10.19	75496	75984	75054	75254	280625	835251	0
2016.10.20	74868	75778	74313	75648	296481	891436	0
2016.10.21	75310	76223	75053	75783	229479	705766	0
2016.10.24	76311	76592	75627	75822	245922	751175	0
2016.10.25	75706	76033	74813	75488	281393	847057	0
2016.10.26	74967	75670	74570	75615	310811	897318	0
2016.10.27	75438	76380	75370	75790	258731	772544	0
2016.10.28	75735	76444	75249	75899	328432	976505	0
2016.10.31	75933	76731	75921	76691	239842	738646	0
2016.11.01	77056	77198	74433	74678	351170	1104675	0
2016.11.03	74076	74934	72764	72844	335049	989137	0
2016.11.04	72854	73966	72481	72676	349295	1044878	0
2016.11.07	74105	75725	73915	75725	254638	789465	0
2016.11.08	75543	76400	74700	75740	360547	1097265	0
2016.11.09	73343	75720	72435	74320	493907	1380504	0
2016.11.10	74903	75592	71227	71882	476555	1363540	0
2016.11.11	71370	72591	69166	69721	460725	1103547	0
2016.11.14	69746	70449	68439	70249	436132	1175024	0
2016.11.16	71166	71678	69658	71678	461284	1143883	0
2016.11.17	71754	72283	70048	70268	381005	1018210	0
2016.11.18	69711	70711	69561	70396	355628	990968	0
2016.11.21	70770	71746	70671	71701	287804	788871	0
2016.11.22	72580	73442	72097	73047	298945	862205	0
2016.11.23	72772	72922	71727	72707	298889	831309	0
2016.11.24	72691	72931	71806	71876	154272	443052	0
2016.11.25	70997	72162	70677	72102	225926	644696	0
2016.11.28	71702	73735	71667	73735	276726	798258	0
2016.11.29	73279	73317	71337	71432	289647	857254	0
2016.11.30	72231	73204	72129	72449	346729	1039763	0
2016.12.01	72132	72212	69022	69527	386288	1188459	0
2016.12.02	69257	70562	67832	70377	388193	1091248	0
2016.12.05	70928	70957	69657	69797	313630	880975	0
